1749307243924|7|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/weblog?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1749307243944|2|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/weblog?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'admin')
1749307243961|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/weblog?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'admin')
1749307244045|4|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/weblog?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|INSERT INTO t_visitor_record  ( visitor, ip_address, ip_region, visit_time, is_notify )  VALUES  ( ?, ?, ?, ?, ? )|INSERT INTO t_visitor_record  ( visitor, ip_address, ip_region, visit_time, is_notify )  VALUES  ( 'agent', '0:0:0:0:0:0:0:1', '外太空', '2025-06-07T22:40:44.036+0800', 0 )
1749307244061|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/weblog?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,blog_name,author,avatar,introduction,github_home,csdn_home,gitee_home,zhihu_home  FROM t_blog_setting|SELECT  id,blog_name,author,avatar,introduction,github_home,csdn_home,gitee_home,zhihu_home  FROM t_blog_setting
1749307244373|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/weblog?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'admin')
1749307244374|2|statement|connection 1|url jdbc:p6spy:mysql://127.0.0.1:3306/weblog?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'admin')
1749307244376|2|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/weblog?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'admin')
1749307244377|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/weblog?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'admin')
1749307244377|0|statement|connection 1|url jdbc:p6spy:mysql://127.0.0.1:3306/weblog?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'admin')
1749307244379|1|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/weblog?useUnicode=true&characterEncoding=UTF-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'admin')
